ISO3,NAME,D_T_DIFF,LATITUDE,LONGITUDE,Norm_T_Diff
IND,SILIGURI,1.39948541188,26.7260916679,88.4017090803,0.045966658298086
USA,Clewiston,0.667530899403,26.743867314,-80.9314053782,0.0213431369267835
NPL,Gaur,1.09589876144,26.7771771846,85.2899005303,0.0278009761768934
IND,Bairgania,0.407817273795,26.7468960967,85.2793169451,0.0105622376626154
IND,Jorhat,2.37660714286,26.745720922,94.2126841872,0.086960214835979
CHN,Baidishi,0.899924385633,26.7861627707,111.933044933,0.0226395641196463
USA,Burnt Store Marina,-0.336656534954,26.7730852387,-82.0471202238,-0.0094601900749763
IND,HINDAUN,-9.85748010685,26.7391451089,77.0310206966,-0.2251527714071859
IND,BHARTHANA,1.89778651367,26.7551369056,79.2280883052,0.0401807915542155
JPN,Naha,4.37324357376,26.4437073684,127.887621806,0.1465072058215859
IND,KUSHINAGAR,1.22076503497,26.746729875,83.9172236078,0.0380045994933991
NPL,Janakpur,-0.161981628255,26.730259218,85.9292197901,-0.0039520005119246
PAK,Dadu,-0.0356112678895,26.7181132775,67.7783943081,-0.0007101468577102
IND,GOSAINGANJ,-0.0254810379242,26.7636626054,81.1183233835,-0.0006321351024152
CHN,Guyong,3.6810968982,26.7324422377,117.475190963,0.1093766200708672
USA,Belle Glade,2.72976200019,26.6911879505,-80.6706416863,0.0847352434650492
CHN,Liupanshui,1.36688953488,26.5978576224,104.909226395,0.0469665032006831
IND,AMETHI,-0.77065,26.7560641624,81.1579500094,-0.0193627491008312
IND,PHALODI,0.842984615385,26.7258288527,73.9233217768,0.0164203445173842
IND,HATA,0.909025948104,26.7428284828,83.7549891662,0.0318253255579151
NPL,Lahan,4.5669479393,26.7203395519,86.4852262575,0.1261369634684022
IND,UTTARLATABARI,-3.32987955626,26.7236620523,89.3699888998,-0.1026287344278031
CHN,Wugang,1.64861641337,26.7281614909,110.637322509,0.0424544612050713
IND,RUDAULI,1.15538812785,26.7489155513,81.7490223645,0.0305540126064987
IND,SIWARHI,-4.21913383032,26.7241710029,84.234712071,-0.1191725253750169
IND,TEZPUR,1.70888734334,26.6694916865,92.7909727122,0.0553804482540535
CHN,Guiyang,1.63732860645,26.5662274615,106.702759942,0.0474191760404835
IND,DHAULPUR,1.83986968205,26.6988985497,77.9007008444,0.0383839497651403
IND,AMBAH,2.32900420757,26.7070320462,78.2321757817,0.0489831146922232
IND,Dhekiajuli,1.54480507132,26.705686075,92.4903456021,0.0470157320085363
CHN,Chengguan,0.509782608696,26.7149131299,113.273947597,0.0131956187169686
CHN,Ningde,2.72031439579,26.6672372111,119.531362675,0.078240584720228
CHN,Fuquan,2.14027251332,26.6955217348,107.507148013,0.0634092494884828
CHN,Lijiaping,1.68579281184,26.6989397279,111.821327199,0.0416501042323252
